a+,"[0.0, 0.0]"
luxuriant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
luxuriate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
luxurious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
luxuriously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
luxury,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lyrical,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
magic,"[0.0, 0.0, 0.0, 0.0, 0.0]"
magical,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
magnanimous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
magnanimously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
magnificence,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
magnificent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
magnificently,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
majestic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
majesty,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
manageable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
maneuverable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
marvel,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
marveled,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
marvelled,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
marvellous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
marvelous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
marvelously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
marvelousness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
marvels,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
master,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
masterful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
masterfully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
masterpiece,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
masterpieces,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
masters,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mastery,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
matchless,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mature,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
maturely,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
maturity,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
meaningful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
memorable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
merciful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mercifully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mercy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
merit,"[0.0, 0.0, 0.0, 0.0, 0.0]"
meritorious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
merrily,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
merriment,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
merriness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
merry,"[0.0, 0.0, 0.0, 0.0, 0.0]"
mesmerize,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mesmerized,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mesmerizes,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mesmerizing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mesmerizingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
meticulous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
meticulously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mightily,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mighty,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mind-blowing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
miracle,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
miracles,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
miraculous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
miraculously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
miraculousness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
modern,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
modest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
modesty,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
momentous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
monumental,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
monumentally,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
morality,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
motivated,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
multi-purpose,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
navigable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
neat,"[0.0, 0.0, 0.0, 0.0]"
neatest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
neatly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
nice,"[0.0, 0.0, 0.0, 0.0]"
nicely,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
nicer,"[0.0, 0.0, 0.0, 0.0, 0.0]"
nicest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
nifty,"[0.0, 0.0, 0.0, 0.0, 0.0]"
nimble,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
noble,"[0.0, 0.0, 0.0, 0.0, 0.0]"
nobly,"[0.0, 0.0, 0.0, 0.0, 0.0]"
noiseless,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
non-violence,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
non-violent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
notably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
noteworthy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
nourish,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
nourishing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
nourishment,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
novelty,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
nurturing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
oasis,"[0.0, 0.0, 0.0, 0.0, 0.0]"
obsession,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
obsessions,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
obtainable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
openly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
openness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
optimal,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
optimism,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
optimistic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
opulent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
orderly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
originality,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
outdo,"[0.0, 0.0, 0.0, 0.0, 0.0]"
outdone,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
outperform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
outperformed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
outperforming,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
outperforms,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
outshine,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
outshone,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
outsmart,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
outstanding,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
outstandingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
outstrip,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
outwit,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ovation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
overjoyed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
overtake,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
overtaken,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
overtakes,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
overtaking,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
overtook,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
overture,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pain-free,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
painless,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
painlessly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
palatial,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pamper,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pampered,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pamperedly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pamperedness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pampers,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
panoramic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
paradise,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
paramount,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pardon,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
passion,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
passionate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
passionately,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
patience,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
patient,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
patiently,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
patriot,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
patriotic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
peace,"[0.0, 0.0, 0.0, 0.0, 0.0]"
peaceable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
peaceful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
peacefully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
peacekeepers,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
peach,"[0.0, 0.0, 0.0, 0.0, 0.0]"
peerless,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pep,"[0.0, 0.0, 0.0]"
pepped,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pepping,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
peppy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
peps,"[0.0, 0.0, 0.0, 0.0]"
perfect,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
perfection,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
perfectly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
permissible,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
perseverance,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
persevere,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
personages,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
personalized,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
phenomenal,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
phenomenally,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
picturesque,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
piety,"[0.0, 0.0, 0.0, 0.0, 0.0]"
pinnacle,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
playful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
playfully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pleasant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pleasantly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pleased,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pleases,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pleasing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pleasingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pleasurable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pleasurably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pleasure,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
plentiful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pluses,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
plush,"[0.0, 0.0, 0.0, 0.0, 0.0]"
plusses,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
poetic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
poeticize,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
poignant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
poise,"[0.0, 0.0, 0.0, 0.0, 0.0]"
poised,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
polished,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
polite,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
politeness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
popular,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
portable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
posh,"[0.0, 0.0, 0.0, 0.0]"
positive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
positively,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
positives,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
powerful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
powerfully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
praise,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
praiseworthy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
praising,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pre-eminent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
precious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
precise,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
precisely,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
preeminent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prefer,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
preferable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
preferably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prefered,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
preferes,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
preferring,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prefers,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
premier,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prestige,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prestigious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prettily,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pretty,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
priceless,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pride,"[0.0, 0.0, 0.0, 0.0, 0.0]"
principled,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
privilege,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
privileged,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prize,"[0.0, 0.0, 0.0, 0.0, 0.0]"
proactive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
problem-free,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
problem-solver,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prodigious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prodigiously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prodigy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
productive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
productively,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
proficient,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
proficiently,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
profound,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
profoundly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
profuse,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
profusion,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
progress,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
progressive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prolific,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prominence,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prominent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
promise,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
promised,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
promises,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
promising,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
promoter,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prompt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
promptly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
proper,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
properly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
propitious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
propitiously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pros,"[0.0, 0.0, 0.0, 0.0]"
prosper,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prosperity,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prosperous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prospros,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
protect,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
protection,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
protective,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
proud,"[0.0, 0.0, 0.0, 0.0, 0.0]"
proven,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
proves,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
providence,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
proving,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prowess,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prudence,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prudent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
prudently,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
punctual,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pure,"[0.0, 0.0, 0.0, 0.0]"
purify,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
purposeful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
quaint,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
